Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
3.2140201080e-01	5.9748691871e+02	2.0914396874e+22	3.9233001415e-02	4.8930405418e+21	8.6977406743e-01	2.5674132577e+20	6.5405587707e-02	1.0708951440e-04	2.8465211093e-16	6.6096988443e+19	1.6184072256e-02	9.2961746962e-03	2.7242854946e-10	1.6736768098e-33	6.1722180639e-09
3.2134391124e-01	5.9798572206e+02	2.0914422557e+22	3.9214332739e-02	4.8922103240e+21	8.6895172258e-01	2.6032624085e+20	6.6263535927e-02	1.0702773921e-04	2.8305151931e-16	6.6122029044e+19	1.6176861096e-02	9.2865129881e-03	2.7003487305e-10	1.6722807303e-33	6.1291335193e-09
3.2128466453e-01	5.9850017198e+02	2.0914448539e+22	3.9194954667e-02	4.8913556575e+21	8.6810485818e-01	2.6402527488e+20	6.7147322238e-02	1.0696389662e-04	2.8142970036e-16	6.6147416428e+19	1.6169327009e-02	9.2765671205e-03	2.6761802210e-10	1.6708432960e-33	6.0855451844e-09
3.2122421130e-01	5.9903235445e+02	2.0914474819e+22	3.9174748823e-02	4.8904731353e+21	8.6723004727e-01	2.6785415131e+20	6.8060569084e-02	1.0689763160e-04	2.7978122732e-16	6.6173219430e+19	1.6161432206e-02	9.2662981490e-03	2.6517093115e-10	1.6693589129e-33	6.0413175843e-09
3.2116251249e-01	5.9958476951e+02	2.0914501377e+22	3.9153565714e-02	4.8895586593e+21	8.6632315848e-01	2.7183186132e+20	6.9007650403e-02	1.0682849838e-04	2.7809956662e-16	6.6199518125e+19	1.6153130766e-02	9.2556593481e-03	2.6268525920e-10	1.6678208835e-33	5.9962893320e-09
3.2109955577e-01	6.0016042323e+02	2.0914528170e+22	3.9131217465e-02	4.8886072900e+21	8.6537920133e-01	2.7598139565e+20	6.9993857298e-02	1.0675593951e-04	2.7637686590e-16	6.6226405708e+19	1.6144366715e-02	9.2445945133e-03	2.6015116261e-10	1.6662211657e-33	5.9502683369e-09
3.2103410967e-01	6.0076376431e+02	2.0914555790e+22	3.9107718727e-02	4.8876124950e+21	8.6439189296e-01	2.8033106365e+20	7.1025609494e-02	1.0667994080e-04	2.7460773085e-16	6.6254055706e+19	1.6135067934e-02	9.2330242605e-03	2.5755769990e-10	1.6645477963e-33	5.9030740263e-09
3.2096621503e-01	6.0139934614e+02	2.0914584138e+22	3.9082771160e-02	4.8865667845e+21	8.6335365033e-01	2.8491594761e+20	7.2110960677e-02	1.0659962261e-04	2.7278038248e-16	6.6282601884e+19	1.6125147953e-02	9.2208636215e-03	2.5489052446e-10	1.6627886386e-33	5.8544224537e-09
3.2089685386e-01	6.0208382018e+02	2.0914612442e+22	3.9055065846e-02	4.8854414491e+21	8.6223520871e-01	2.8986883542e+20	7.3281110734e-02	1.0651110497e-04	2.7083877110e-16	6.6312632102e+19	1.6114306714e-02	9.2077903160e-03	2.5208086417e-10	1.6608983110e-33	5.8029653654e-09
3.2082594333e-01	6.0282498971e+02	2.0914640598e+22	3.9024133641e-02	4.8842239873e+21	8.6102391878e-01	2.9524896084e+20	7.4549477612e-02	1.0641301795e-04	2.6876677696e-16	6.6344339669e+19	1.6102389012e-02	9.1936614197e-03	2.4910956340e-10	1.6588562470e-33	5.7483165346e-09
3.2075339097e-01	6.0362245775e+02	2.0914668615e+22	3.8990043574e-02	4.8829160512e+21	8.5972143215e-01	3.0105216425e+20	7.5914343144e-02	1.0630563124e-04	2.6657697808e-16	6.6377565914e+19	1.6089374187e-02	9.1784948512e-03	2.4599530742e-10	1.6566646704e-33	5.6908079785e-09
3.2067903751e-01	6.0448899691e+02	2.0914696348e+22	3.8952032999e-02	4.8814970869e+21	8.5830699187e-01	3.0737536033e+20	7.7397712456e-02	1.0618670540e-04	2.6424133435e-16	6.6412650194e+19	1.6075013662e-02	9.1620559162e-03	2.4270381868e-10	1.6542898301e-33	5.6297596049e-09
3.2060270508e-01	6.0544161846e+02	2.0914723577e+22	3.8909080914e-02	4.8799398232e+21	8.5675303437e-01	3.1434769965e+20	7.9028818560e-02	1.0605325075e-04	2.6172348231e-16	6.6450028198e+19	1.6058973388e-02	9.1440331920e-03	2.3919103240e-10	1.6516869166e-33	5.5642930446e-09
3.2052416087e-01	6.0650351235e+02	2.0914749995e+22	3.8859798229e-02	4.8782072549e+21	8.5502215116e-01	3.2214515840e+20	8.0847345038e-02	1.0590121040e-04	2.5897549027e-16	6.6490270840e+19	1.6040794048e-02	9.1240040660e-03	2.3539928776e-10	1.6487950682e-33	5.4932541235e-09
3.2044308712e-01	6.0770724960e+02	2.0914775154e+22	3.8802239884e-02	4.8762476811e+21	8.5306207138e-01	3.3101474135e+20	8.2908754690e-02	1.0572491917e-04	2.5593248832e-16	6.6534145623e+19	1.6019824905e-02	9.1013780591e-03	2.3125113789e-10	1.6455291601e-33	5.4150858648e-09
3.2035904240e-01	6.0910002835e+02	2.0914798376e+22	3.8733597059e-02	4.8739866527e+21	8.5079751705e-01	3.4131411874e+20	8.5292944631e-02	1.0551622147e-04	2.5250444125e-16	6.6582708065e+19	1.5995114078e-02	9.0753048976e-03	2.2664005215e-10	1.6417664644e-33	5.3276356266e-09
3.2027153586e-01	6.1075288514e+02	2.0914818525e+22	3.8649626934e-02	4.8713128824e+21	8.4811591399e-01	3.5358179412e+20	8.8119463057e-02	1.0526284593e-04	2.4856193652e-16	6.6637444768e+19	1.5965212973e-02	9.0445142394e-03	2.2141493441e-10	1.6373234156e-33	5.2278284033e-09
3.2018015211e-01	6.1281447334e+02	2.0914832933e+22	3.8541298707e-02	4.8679925564e+21	8.4478063498e-01	3.6894791713e+20	9.1639671418e-02	1.0493863399e-04	2.4382269423e-16	6.6701564278e+19	1.5927110390e-02	9.0063400424e-03	2.1524393045e-10	1.6318152451e-33	5.1089432133e-09
3.2008292481e-01	6.1545236625e+02	2.0914839091e+22	3.8399070815e-02	4.8637728845e+21	8.4053619030e-01	3.8867235012e+20	9.6125071269e-02	1.0451640074e-04	2.3805618699e-16	6.6777599555e+19	1.5877251519e-02	8.9578940182e-03	2.0787303479e-10	1.6248211151e-33	4.9656254028e-09
3.1997771078e-01	6.1896193756e+02	2.0914831791e+22	3.8206020000e-02	4.8582136965e+21	8.3493769354e-01	4.1497751671e+20	1.0204884610e-01	1.0394813558e-04	2.3087920448e-16	6.6869524291e+19	1.5809329629e-02	8.8941571065e-03	1.9888791761e-10	1.6156082294e-33	4.7890574630e-09
3.1986119309e-01	6.2391449120e+02	2.0914800340e+22	3.7929789210e-02	4.8504801845e+21	8.2714199177e-01	4.5215364486e+20	1.1030836247e-01	1.0314251779e-04	2.2162221179e-16	6.6983847889e+19	1.5711081937e-02	8.8056268494e-03	1.8758082010e-10	1.6027837374e-33	4.5639882998e-09
3.1973489805e-01	6.3057059377e+02	2.0914736297e+22	3.7558325648e-02	4.8402990126e+21	8.1687549568e-01	5.0209359947e+20	1.2119883508e-01	1.0206950721e-04	2.1058533848e-16	6.7114369454e+19	1.5576005590e-02	8.6892635498e-03	1.7446552664e-10	1.5858652622e-33	4.2990321245e-09
3.1960960377e-01	6.3761037550e+02	2.0914659389e+22	3.7171972669e-02	4.8297988666e+21	8.0629420364e-01	5.5475636761e+20	1.3243244422e-01	1.0096283521e-04	2.0039543031e-16	6.7229845120e+19	1.5430976686e-02	8.5694352697e-03	1.6265937714e-10	1.5683559089e-33	4.0570971599e-09
3.1949399256e-01	6.4368532349e+02	2.0914594487e+22	3.6847077091e-02	4.8209549764e+21	7.9739419742e-01	6.0001563402e+20	1.4188498342e-01	1.0003794177e-04	1.9262430400e-16	6.7314919908e+19	1.5305049636e-02	8.4686500083e-03	1.5382482421e-10	1.5535541413e-33	3.8740108606e-09
