R_int	Phi_global	P_surf
1.0705093066e+07	9.8904934090e-01	6.8423035321e+03
1.0705093066e+07	9.8904647840e-01	6.8433233950e+03
1.0705093066e+07	9.8904361797e-01	6.8442736767e+03
1.0705093066e+07	9.8904075950e-01	6.8451699682e+03
1.0705093066e+07	9.8903790314e-01	6.8460203438e+03
1.0705093066e+07	9.8903505224e-01	6.8468806965e+03
1.0705093066e+07	9.8903220548e-01	6.8476848894e+03
1.0705093066e+07	9.8902936472e-01	6.8484046356e+03
1.0705093066e+07	9.8902653471e-01	6.8489976398e+03
1.0705093066e+07	9.8902372788e-01	6.8493685951e+03
1.0705093066e+07	9.8902095773e-01	6.8492546817e+03
1.0705093066e+07	9.8901859503e-01	6.8484334979e+03
1.0705093066e+07	9.8901655978e-01	6.8466135429e+03
1.0705093066e+07	9.8901482417e-01	6.8432611760e+03
1.0705093066e+07	9.8901332583e-01	6.8374933968e+03
1.0705093066e+07	9.8901215237e-01	6.8278810805e+03
1.0705093066e+07	9.8901146775e-01	6.8121241646e+03
1.0705093066e+07	9.8901166333e-01	6.7865224078e+03
1.0705093066e+07	9.8901302206e-01	6.7453186973e+03
1.0705093066e+07	9.8901519436e-01	6.6896136334e+03
1.0705093066e+07	9.8901859097e-01	6.6718423329e+03
1.0705093066e+07	9.8902125060e-01	6.6718182110e+03
1.0705093066e+07	9.8902391948e-01	6.6717975971e+03
1.0705093066e+07	9.8902659111e-01	6.6717765412e+03
1.0705093066e+07	9.8902926570e-01	6.6717550342e+03
1.0705093066e+07	9.8903194957e-01	6.6717340990e+03
1.0705093066e+07	9.8903463695e-01	6.6717128287e+03
1.0705093066e+07	9.8903732748e-01	6.6716911289e+03
1.0705093066e+07	9.8904002365e-01	6.6716694585e+03
1.0705093066e+07	9.8904272636e-01	6.6716480441e+03
1.0705093066e+07	9.8904543235e-01	6.6716262214e+03
1.0705093066e+07	9.8904814183e-01	6.6716039848e+03
1.0705093066e+07	9.8905085779e-01	6.6715820662e+03
1.0705093066e+07	9.8905357886e-01	6.6715601808e+03
1.0705093066e+07	9.8905630351e-01	6.6715379023e+03
1.0705093066e+07	9.8905903192e-01	6.6715152255e+03
1.0705093066e+07	9.8906176616e-01	6.6714928242e+03
1.0705093066e+07	9.8906450555e-01	6.6714705541e+03
1.0705093066e+07	9.8906724873e-01	6.6714479056e+03
1.0705093066e+07	9.8906999589e-01	6.6714248735e+03
1.0705093066e+07	9.8907274768e-01	6.6714016959e+03
1.0705093066e+07	9.8907550535e-01	6.6713791147e+03
1.0705093066e+07	9.8907826699e-01	6.6713561699e+03
1.0705093066e+07	9.8908103276e-01	6.6713328582e+03
1.0705093066e+07	9.8908380280e-01	6.6713091790e+03
1.0705093066e+07	9.8908554714e-01	6.6712176299e+03
1.0705093066e+07	9.8914276598e-01	6.6709994952e+03
1.0705093066e+07	9.8921688825e-01	6.6707407031e+03
1.0705093066e+07	9.8929083892e-01	6.6704792337e+03
1.0705093066e+07	9.8936463175e-01	6.6702149035e+03
1.0705093066e+07	9.8943828154e-01	6.6699475470e+03
1.0705093066e+07	9.8951184392e-01	6.6696771885e+03
1.0705093066e+07	9.8958526067e-01	6.6694042588e+03
1.0705093066e+07	9.8965852276e-01	6.6691333423e+03
1.0705093066e+07	9.8973166331e-01	6.6688681113e+03
1.0705093066e+07	9.8980477036e-01	6.6686093782e+03
1.0705093066e+07	9.8987799134e-01	6.6683596775e+03
1.0705093066e+07	9.8994816701e-01	6.6681374886e+03
1.0705093066e+07	9.9000503821e-01	6.6679853253e+03
1.0705093066e+07	9.9005309855e-01	6.6679042842e+03
1.0705093066e+07	9.9009428876e-01	6.6679161249e+03
1.0705093066e+07	9.9013206029e-01	6.6680737095e+03
1.0705093066e+07	9.9017104349e-01	6.6685521511e+03
1.0705093066e+07	9.9021891614e-01	6.6700691952e+03
1.0705093066e+07	9.9029063641e-01	6.6773092701e+03
1.0705093066e+07	9.9029075528e-01	6.7524924400e+03
1.0705093066e+07	9.9021354240e-01	6.8381976585e+03
1.0705093066e+07	9.9013834264e-01	6.8951480930e+03
1.0705093066e+07	9.9006420931e-01	6.9358860151e+03
1.0705093066e+07	9.8999036268e-01	6.9687544150e+03
1.0705093066e+07	9.8991647124e-01	6.9974130065e+03
