Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
9.9936822226e-01	3.4825549598e+02	1.8016799743e+22	5.4778434384e-03	6.9736628079e+20	1.1271173308e-01	1.9571756179e+18	6.3927532787e-04	4.8300719420e-03	2.8765114566e-10	2.7819062656e+21	8.6859519078e-01	7.7310817378e-03	5.2424869670e-06	2.8714550424e-33	9.5155345005e-06
9.9931115711e-01	3.4825811631e+02	1.8016777013e+22	5.4784128917e-03	6.9733107742e+20	1.1270840230e-01	1.9583279739e+18	6.3964691091e-04	4.8306308074e-03	2.8766351285e-10	2.7819258917e+21	8.6859704400e-01	7.7310560911e-03	5.2441573606e-06	2.8714334374e-33	9.5171627097e-06
9.9925324697e-01	3.4826078657e+02	1.8016753282e+22	5.4789902969e-03	6.9729456052e+20	1.1270488820e-01	1.9595462257e+18	6.4003991992e-04	4.8311999213e-03	2.8767388148e-10	2.7819462684e+21	8.6859904185e-01	7.7310294113e-03	5.2458993969e-06	2.8714114209e-33	9.5188185104e-06
9.9919515284e-01	3.4826347796e+02	1.8016728724e+22	5.4795689788e-03	6.9725702733e+20	1.1270121068e-01	1.9608238456e+18	6.4045227507e-04	4.8317730743e-03	2.8768180328e-10	2.7819672329e+21	8.6860117921e-01	7.7310019045e-03	5.2477002472e-06	2.8713892306e-33	9.5204834835e-06
9.9913686917e-01	3.4826618944e+02	1.8016703412e+22	5.4801490606e-03	6.9721856784e+20	1.1269738518e-01	1.9621553706e+18	6.4088219349e-04	4.8323501038e-03	2.8768753818e-10	2.7819887325e+21	8.6860344241e-01	7.7309736447e-03	5.2495546553e-06	2.8713668749e-33	9.5221574243e-06
9.9907717233e-01	3.4826897045e+02	1.8016677261e+22	5.4807431132e-03	6.9717891180e+20	1.1269342217e-01	1.9635361684e+18	6.4132807057e-04	4.8329418653e-03	2.8769269215e-10	2.7820109066e+21	8.6860579926e-01	7.7309444799e-03	5.2514701498e-06	2.8713439463e-33	9.5238733827e-06
9.9901646098e-01	3.4827180362e+02	1.8016650376e+22	5.4813471144e-03	6.9713823951e+20	1.1268933380e-01	1.9649622598e+18	6.4178863805e-04	4.8335446143e-03	2.8769699794e-10	2.7820336561e+21	8.6860824653e-01	7.7309145350e-03	5.2534389486e-06	2.8713205881e-33	9.5256202566e-06
9.9895553949e-01	3.4827465492e+02	1.8016622901e+22	5.4819528816e-03	6.9709683799e+20	1.1268513167e-01	1.9664301840e+18	6.4226282778e-04	4.8341509636e-03	2.8769970320e-10	2.7820568260e+21	8.6861078912e-01	7.7308839997e-03	5.2554497710e-06	2.8712970808e-33	9.5273759029e-06
9.9889423064e-01	3.4827753097e+02	1.8016594858e+22	5.4825622662e-03	6.9705470817e+20	1.1268082406e-01	1.9679368965e+18	6.4274963274e-04	4.8347623943e-03	2.8770115175e-10	2.7820804132e+21	8.6861341640e-01	7.7308528845e-03	5.2575013938e-06	2.8712733699e-33	9.5291449592e-06
9.9883180262e-01	3.4828046134e+02	1.8016566195e+22	5.4831827926e-03	6.9701168766e+20	1.1267641709e-01	1.9694796876e+18	6.4324811288e-04	4.8353854071e-03	2.8770230234e-10	2.7821045012e+21	8.6861610923e-01	7.7308210979e-03	5.2595983870e-06	2.8712492115e-33	9.5309472194e-06
9.9876819174e-01	3.4828344811e+02	1.8016536939e+22	5.4838151484e-03	6.9696779952e+20	1.1267191757e-01	1.9710561200e+18	6.4375746787e-04	4.8360204875e-03	2.8770334187e-10	2.7821290757e+21	8.6861886042e-01	7.7307886623e-03	5.2617390124e-06	2.8712245886e-33	9.5327842842e-06
9.9870352464e-01	3.4828648551e+02	1.8016507134e+22	5.4844580704e-03	6.9692311726e+20	1.1266733209e-01	1.9726639767e+18	6.4427698367e-04	4.8366664114e-03	2.8770423062e-10	2.7821540959e+21	8.6862166650e-01	7.7307556307e-03	5.2639198698e-06	2.8711995486e-33	9.5346525744e-06
