Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
2.1103323138e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109438557e+03	3.8698157291e+03	8.3455395604e+03	1.6517891616e+01	9.9908896302e-01	5.3511705686e-01	3.3682208155e+22	2.0037193378e+25	1.1268703393e+07	2.6777607651e+03	4.0000000000e+00
2.1103323586e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109440038e+03	3.8700047479e+03	8.3161666912e+03	1.6517891616e+01	9.9902737531e-01	5.3511705686e-01	3.5176528293e+22	2.0035699058e+25	1.1268746442e+07	2.6795493828e+03	4.0000000000e+00
2.1103324008e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109441680e+03	3.8701988903e+03	8.2867938187e+03	1.6517891616e+01	9.9896408769e-01	5.3511705686e-01	3.6699001803e+22	2.0034176584e+25	1.1268790652e+07	2.6813876524e+03	4.0000000000e+00
2.1103324406e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109443492e+03	3.8703977674e+03	8.2574209450e+03	1.6517891616e+01	9.9889997768e-01	5.3511705686e-01	3.8235129074e+22	2.0032640457e+25	1.1268835936e+07	2.6832719021e+03	4.0000000000e+00
2.1103324783e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109445482e+03	3.8706010317e+03	8.2280480711e+03	1.6517891616e+01	9.9883564182e-01	5.3511705686e-01	3.9775039190e+22	2.0031100547e+25	1.1268882215e+07	2.6851988758e+03	4.0000000000e+00
2.1103325141e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5118546439e+03	3.8708083697e+03	8.1986751924e+03	1.6517891616e+01	9.9877107891e-01	5.3511705686e-01	4.1318686321e+22	2.0029556900e+25	1.1268781635e+07	2.6871656930e+03	4.0000000000e+00
2.1103325483e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5120248550e+03	3.8710194963e+03	8.1693023360e+03	1.6517891616e+01	9.9870628784e-01	5.3511705686e-01	4.2866033655e+22	2.0028009553e+25	1.1268829716e+07	2.6891697370e+03	4.0000000000e+00
2.1103325809e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5120249820e+03	3.8712341466e+03	8.1399294488e+03	1.6517891616e+01	9.9864126729e-01	5.3511705686e-01	4.4417043224e+22	2.0026458543e+25	1.1268878594e+07	2.6912085744e+03	4.0000000000e+00
2.1103326121e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5120251268e+03	3.8714520749e+03	8.1105565925e+03	1.6517891616e+01	9.9857601620e-01	5.3511705686e-01	4.5971698432e+22	2.0024903888e+25	1.1268928212e+07	2.6932799502e+03	4.0000000000e+00
2.1103326420e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5120252900e+03	3.8716730514e+03	8.0811837142e+03	1.6517891616e+01	9.9851053324e-01	5.3511705686e-01	4.7529960484e+22	2.0023345626e+25	1.1268978518e+07	2.6953817520e+03	4.0000000000e+00
2.1103326708e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5120254723e+03	3.8718968578e+03	8.0518108344e+03	1.6517891616e+01	9.9844481725e-01	5.3511705686e-01	4.9091806908e+22	2.0021783779e+25	1.1269029462e+07	2.6975119735e+03	4.0000000000e+00
2.1103326984e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5120256746e+03	3.8721232863e+03	8.0224379529e+03	1.6517891616e+01	9.9837886699e-01	5.3511705686e-01	5.0657208883e+22	2.0020218377e+25	1.1269080996e+07	2.6996687016e+03	4.0000000000e+00
2.1103327251e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5120258979e+03	3.8723521378e+03	7.9930650967e+03	1.6517891616e+01	9.9831268130e-01	5.3511705686e-01	5.2226154768e+22	2.0018649431e+25	1.1269133074e+07	2.7018501014e+03	4.0000000000e+00
2.1103327508e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5120261434e+03	3.8725832222e+03	7.9636922145e+03	1.6517891616e+01	9.9824625882e-01	5.3511705686e-01	5.3798622558e+22	2.0017076964e+25	1.1269185653e+07	2.7040544174e+03	4.0000000000e+00
2.1103327756e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5131878903e+03	3.8728163572e+03	7.9343193401e+03	1.6517891616e+01	9.9817959837e-01	5.3511705686e-01	5.5374595965e+22	2.0015500990e+25	1.1269047259e+07	2.7062799640e+03	4.0000000000e+00
2.1103327997e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5133673938e+03	3.8730513718e+03	7.9049464549e+03	1.6517891616e+01	9.9811269866e-01	5.3511705686e-01	5.6954056115e+22	2.0013921530e+25	1.1269100747e+07	2.7085251586e+03	4.0000000000e+00
