Phi_global	fO2_shift_IW_derived
9.7482287223e-01	-5.2124152570e-02
9.7476366390e-01	-5.2106110221e-02
9.7470406620e-01	-5.2085894432e-02
9.7464369294e-01	-5.2063865540e-02
9.7458207354e-01	-5.2040288022e-02
9.7451938184e-01	-5.2015424032e-02
9.7445562522e-01	-5.1989452066e-02
9.7439165321e-01	-5.1962615567e-02
9.7432697186e-01	-5.1934956027e-02
9.7426124912e-01	-5.1906514651e-02
9.7419411716e-01	-5.1877312785e-02
9.7412619441e-01	-5.1847486862e-02
9.7405742461e-01	-5.1817078173e-02
9.7398722546e-01	-5.1786053885e-02
9.7391478224e-01	-5.1754346076e-02
9.7384148353e-01	-5.1722165167e-02
9.7376792695e-01	-5.1689616843e-02
9.7369411124e-01	-5.1656727305e-02
9.7362003510e-01	-5.1623520571e-02
9.7354569728e-01	-5.1590018941e-02
9.7347109645e-01	-5.1556243260e-02
9.7339623133e-01	-5.1522213246e-02
9.7332110053e-01	-5.1487947614e-02
9.7324570271e-01	-5.1453464305e-02
9.7317003529e-01	-5.1418780317e-02
9.7309408084e-01	-5.1383909962e-02
9.7301783019e-01	-5.1348867744e-02
9.7294128920e-01	-5.1313668938e-02
9.7286446377e-01	-5.1278327353e-02
9.7278735613e-01	-5.1242854332e-02
9.7270996433e-01	-5.1207257929e-02
9.7263228735e-01	-5.1171542751e-02
9.7255432589e-01	-5.1135708827e-02
9.7247607599e-01	-5.1099749540e-02
9.7239753790e-01	-5.1063651293e-02
9.7231871058e-01	-5.1027391157e-02
9.7223958839e-01	-5.0990934840e-02
9.7216017715e-01	-5.0954237327e-02
9.7208046303e-01	-5.0917237821e-02
9.7200045519e-01	-5.0879864388e-02
9.7192014456e-01	-5.0842028831e-02
9.7183953039e-01	-5.0803630640e-02
9.7175861228e-01	-5.0764557545e-02
9.7167738149e-01	-5.0724686541e-02
9.7159584279e-01	-5.0683889573e-02
9.7151398486e-01	-5.0642033143e-02
9.7143181119e-01	-5.0598985963e-02
9.7134931602e-01	-5.0554619968e-02
9.7126649246e-01	-5.0508815631e-02
9.7118333985e-01	-5.0461467309e-02
9.7109985130e-01	-5.0412485990e-02
9.7101601739e-01	-5.0361803838e-02
9.7093182840e-01	-5.0309378001e-02
9.7084730860e-01	-5.0255197380e-02
9.7076246622e-01	-5.0199277545e-02
9.7067730022e-01	-5.0141660866e-02
9.7059180949e-01	-5.0082415980e-02
9.7050599302e-01	-5.0021634369e-02
9.7041984960e-01	-4.9959426044e-02
9.7033337800e-01	-4.9895914521e-02
9.7024657690e-01	-4.9831231855e-02
9.7015944500e-01	-4.9765513927e-02
9.7007198073e-01	-4.9698896174e-02
9.6998418258e-01	-4.9631510308e-02
9.6989604871e-01	-4.9563481505e-02
9.6980757720e-01	-4.9494926601e-02
9.6971876640e-01	-4.9425952948e-02
9.6962961451e-01	-4.9356658010e-02
9.6954011973e-01	-4.9286854212e-02
9.6945028028e-01	-4.9216473289e-02
9.6936009428e-01	-4.9146006351e-02
9.6926955986e-01	-4.9075515336e-02
9.6917867512e-01	-4.9005054784e-02
9.6908743814e-01	-4.8934672688e-02
9.6899584695e-01	-4.8864411347e-02
9.6890389959e-01	-4.8794308176e-02
9.6881159405e-01	-4.8724396276e-02
9.6871892831e-01	-4.8654704010e-02
9.6862590028e-01	-4.8585243371e-02
9.6853250647e-01	-4.8515879485e-02
9.6843872963e-01	-4.8444921815e-02
9.6834685036e-01	-4.8354483839e-02
9.6834465846e-01	-4.8093435706e-02
9.6834037314e-01	-4.7936137236e-02
9.6833646030e-01	-4.7849684721e-02
9.6833266932e-01	-4.7791813407e-02
9.6832899748e-01	-4.7757245443e-02
9.6832546306e-01	-4.7736042601e-02
9.6832213719e-01	-4.7721499805e-02
9.6831913855e-01	-4.7710406433e-02
9.6831668624e-01	-4.7701143888e-02
9.6831520038e-01	-4.7693068930e-02
9.6831565804e-01	-4.7685884971e-02
9.6831940866e-01	-4.7680405819e-02
9.6832903622e-01	-4.7677483533e-02
9.6834976706e-01	-4.7678882551e-02
9.6839373362e-01	-4.7688834009e-02
9.6847314660e-01	-4.7712540999e-02
9.6855406098e-01	-4.7739042609e-02
9.6863595557e-01	-4.7766947438e-02
9.6871758798e-01	-4.7795836790e-02
9.6879731474e-01	-4.7825646678e-02
9.6887696380e-01	-4.7857416400e-02
9.6901385923e-01	-4.7901642644e-02
9.6911361827e-01	-4.7930032010e-02
9.6918726195e-01	-4.7950345448e-02
9.6924661754e-01	-4.7966325871e-02
9.6929682656e-01	-4.7979598489e-02
9.6934053512e-01	-4.7991000219e-02
9.6937926701e-01	-4.8001018243e-02
9.6941396890e-01	-4.8009960889e-02
9.6944526063e-01	-4.8018035378e-02
9.6944761573e-01	-4.8022190142e-02
9.6944393520e-01	-4.8025429298e-02
9.6943844623e-01	-4.8028521953e-02
9.6943096950e-01	-4.8031470365e-02
9.6942120816e-01	-4.8034269736e-02
9.6940845384e-01	-4.8036877775e-02
9.6939136324e-01	-4.8039211851e-02
9.6937324856e-01	-4.8040771458e-02
9.6935618319e-01	-4.8041731131e-02
9.6934105367e-01	-4.8042382986e-02
9.6932665618e-01	-4.8042890039e-02
9.6931950667e-01	-4.8044209682e-02
9.6931588432e-01	-4.8045911581e-02
9.6926270414e-01	-4.8048850662e-02
9.6925461975e-01	-4.8057080996e-02
9.6926644456e-01	-4.8067747269e-02
