Phi_global	fO2_shift_IW_derived
9.8628311219e-01	-1.0476986060e+00
9.8621510904e-01	-1.0476733129e+00
9.8614563705e-01	-1.0476475712e+00
9.8607466351e-01	-1.0476213985e+00
9.8600344036e-01	-1.0475949488e+00
9.8593196635e-01	-1.0475682404e+00
9.8586024019e-01	-1.0475412905e+00
9.8578826059e-01	-1.0475141155e+00
9.8571602626e-01	-1.0474867312e+00
9.8564353586e-01	-1.0474591525e+00
9.8557078809e-01	-1.0474313937e+00
9.8549778160e-01	-1.0474034685e+00
9.8542451314e-01	-1.0473753894e+00
9.8535097336e-01	-1.0473471670e+00
9.8527715983e-01	-1.0473188113e+00
9.8520307405e-01	-1.0472903302e+00
9.8512871789e-01	-1.0472617290e+00
9.8505409192e-01	-1.0472330092e+00
9.8497919236e-01	-1.0472041669e+00
9.8490402147e-01	-1.0471751927e+00
9.8482857428e-01	-1.0471460692e+00
9.8475285357e-01	-1.0471167713e+00
9.8467685223e-01	-1.0470872628e+00
9.8460057391e-01	-1.0470574977e+00
9.8452401360e-01	-1.0470274176e+00
9.8444717010e-01	-1.0469969529e+00
9.8437004407e-01	-1.0469660227e+00
9.8429262747e-01	-1.0469345346e+00
9.8421492459e-01	-1.0469023891e+00
9.8413692991e-01	-1.0468694783e+00
9.8405864142e-01	-1.0468356904e+00
9.8398005963e-01	-1.0468009120e+00
9.8390117729e-01	-1.0467650295e+00
9.8382199881e-01	-1.0467279348e+00
9.8374251471e-01	-1.0466895252e+00
9.8366272960e-01	-1.0466497100e+00
9.8358263623e-01	-1.0466084111e+00
9.8350223455e-01	-1.0465655686e+00
9.8342152182e-01	-1.0465211422e+00
9.8334049347e-01	-1.0464751141e+00
9.8325914520e-01	-1.0464274900e+00
9.8317746997e-01	-1.0463782995e+00
9.8309547400e-01	-1.0463275960e+00
9.8301316650e-01	-1.0462754538e+00
9.8293054611e-01	-1.0462219630e+00
9.8284761137e-01	-1.0461672269e+00
9.8276436087e-01	-1.0461113580e+00
9.8268079311e-01	-1.0460544740e+00
9.8259690658e-01	-1.0459966939e+00
9.8251269973e-01	-1.0459381353e+00
9.8242817098e-01	-1.0458789119e+00
9.8234331871e-01	-1.0458191314e+00
9.8225814119e-01	-1.0457588943e+00
9.8217263660e-01	-1.0456982936e+00
9.8208680302e-01	-1.0456374141e+00
9.8200063873e-01	-1.0455763322e+00
9.8191414189e-01	-1.0455151171e+00
9.8182731069e-01	-1.0454534651e+00
9.8174014333e-01	-1.0453915398e+00
9.8165263793e-01	-1.0453296489e+00
9.8156479260e-01	-1.0452678372e+00
9.8147660549e-01	-1.0452061446e+00
9.8138807467e-01	-1.0451446056e+00
9.8129919812e-01	-1.0450832394e+00
9.8120997304e-01	-1.0450219316e+00
9.8112038833e-01	-1.0449591631e+00
9.8103270113e-01	-1.0448787565e+00
9.8103133685e-01	-1.0446405554e+00
9.8102747865e-01	-1.0444898881e+00
9.8102385805e-01	-1.0444035531e+00
9.8102030576e-01	-1.0443443893e+00
9.8101681075e-01	-1.0443089820e+00
9.8101336429e-01	-1.0442879229e+00
9.8100997360e-01	-1.0442741304e+00
9.8100665795e-01	-1.0442640365e+00
9.8100346020e-01	-1.0442557582e+00
9.8100046038e-01	-1.0442486028e+00
9.8099790373e-01	-1.0442420836e+00
9.8099607361e-01	-1.0442368352e+00
9.8099545112e-01	-1.0442333697e+00
