config,Phi_global,H2O_vmr,CO2_vmr,O2_vmr,H2_vmr,CH4_vmr,CO_vmr,N2_vmr,S2_vmr,SO2_vmr,H2S_vmr,P_surf,fO2_shift_IW_derived,O_kg_total,O_res
S2_m5_IW0_fixed,4.9472087837e-01,1.5110996131e-02,1.3023133601e-01,7.8006560026e-06,1.2911795526e-02,1.7257235315e-08,8.3398229832e-01,7.6314871964e-03,3.1027111025e-06,7.3048318627e-05,4.7711528471e-05,4.7688991567e+02,0.0000000000e+00,1.8095324830e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9466610048e-01,1.5114235348e-02,1.3018074078e-01,7.8886181284e-06,1.2914377075e-02,1.7188570994e-08,8.3402672576e-01,7.6313082784e-03,3.1169559944e-06,7.3448210975e-05,4.7735786513e-05,4.7689301161e+02,0.0000000000e+00,1.8095200791e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9460964604e-01,1.5117572180e-02,1.3012936327e-01,7.9789109371e-06,1.2917044550e-02,1.7119302965e-08,8.3407174401e-01,7.6311257750e-03,3.1314897207e-06,7.3856378703e-05,4.7760657629e-05,4.7689623982e+02,0.0000000000e+00,1.8095073990e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9455150988e-01,1.5121007208e-02,1.3007709183e-01,8.0717933420e-06,1.2919798314e-02,1.7049275280e-08,8.3411746278e-01,7.6309393952e-03,3.1463463116e-06,7.4273819033e-05,4.7786164542e-05,4.7689959555e+02,0.0000000000e+00,1.8094944176e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9449166185e-01,1.5124543262e-02,1.3002341428e-01,8.1682711740e-06,1.2922639361e-02,1.6977737410e-08,8.3416438625e-01,7.6307478079e-03,3.1616715790e-06,7.4704765621e-05,4.7812410027e-05,4.7690305754e+02,0.0000000000e+00,1.8094810264e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9442987838e-01,1.5128193666e-02,1.2996808387e-01,8.2688979925e-06,1.2925578765e-02,1.6904380765e-08,8.3421273469e-01,7.6305501749e-03,3.1775417256e-06,7.5151406894e-05,4.7839501650e-05,4.7690663661e+02,0.0000000000e+00,1.8094671612e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9436602957e-01,1.5131965147e-02,1.2991146439e-01,8.3731066587e-06,1.2928623989e-02,1.6829797756e-08,8.3426213275e-01,7.6303472945e-03,3.1938629667e-06,7.5611025557e-05,4.7867409872e-05,4.7691036321e+02,0.0000000000e+00,1.8094528863e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9430000705e-01,1.5135864243e-02,1.2985341773e-01,8.4812592047e-06,1.2931780674e-02,1.6753823913e-08,8.3431270500e-01,7.6301387107e-03,3.2106806716e-06,7.6084941317e-05,4.7896191037e-05,4.7691424178e+02,0.0000000000e+00,1.8094381643e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9423170012e-01,1.5139897631e-02,1.2979380228e-01,8.5937421622e-06,1.2935054649e-02,1.6676294243e-08,8.3436457916e-01,7.6299239553e-03,3.2280421877e-06,7.6574535680e-05,4.7925902912e-05,4.7691827682e+02,0.0000000000e+00,1.8094229563e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9416099721e-01,1.5144072044e-02,1.2973247482e-01,8.7109646899e-06,1.2938451873e-02,1.6597046184e-08,8.3441788428e-01,7.6297025548e-03,3.2459963637e-06,7.7081238887e-05,4.7956603948e-05,4.7692247287e+02,0.0000000000e+00,1.8094072222e+22,0.0000000000e+00
