Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
3.5440849377e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534453446e+03	3.8417397520e+03	1.0938232365e+04	2.4859177551e+01	9.9886592609e-01	5.3511705686e-01	4.1955152722e+24	3.8110899398e+25	1.3126706678e+07	2.5696158618e+03	4.0000000000e+00
3.5440849679e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534454683e+03	3.8419143875e+03	1.0895895044e+04	2.4859177551e+01	9.9880190458e-01	5.3511705686e-01	4.1985135070e+24	3.8107901163e+25	1.3126733375e+07	2.5711437688e+03	4.0000000000e+00
3.5440849963e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534456067e+03	3.8420950698e+03	1.0853557753e+04	2.4859177551e+01	9.9873772773e-01	5.3511705686e-01	4.2015170849e+24	3.8104897586e+25	1.3126760997e+07	2.5727249985e+03	4.0000000000e+00
3.5440850233e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534457603e+03	3.8422813595e+03	1.0811220445e+04	2.4859177551e+01	9.9867339087e-01	5.3511705686e-01	4.2045258420e+24	3.8101888828e+25	1.3126789478e+07	2.5743558396e+03	4.0000000000e+00
3.5440850489e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534459298e+03	3.8424728567e+03	1.0768883092e+04	2.4859177551e+01	9.9860889014e-01	5.3511705686e-01	4.2075397625e+24	3.8098874908e+25	1.3126818754e+07	2.5760329156e+03	4.0000000000e+00
3.5440850733e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534461162e+03	3.8426691924e+03	1.0726545778e+04	2.4859177551e+01	9.9854422107e-01	5.3511705686e-01	4.2105588510e+24	3.8095855819e+25	1.3126848770e+07	2.5777531142e+03	4.0000000000e+00
3.5440850966e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534463196e+03	3.8428700289e+03	1.0684208469e+04	2.4859177551e+01	9.9847857381e-01	5.3511705686e-01	4.2136081697e+24	3.8092806501e+25	1.3126879472e+07	2.5795137919e+03	4.0000000000e+00
3.5440851189e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534465405e+03	3.8430750531e+03	1.0641871243e+04	2.4859177551e+01	9.9841110346e-01	5.3511705686e-01	4.2167138844e+24	3.8089700786e+25	1.3126910810e+07	2.5813125227e+03	4.0000000000e+00
3.5440851402e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534467794e+03	3.8432839709e+03	1.0599534018e+04	2.4859177551e+01	9.9834344419e-01	5.3511705686e-01	4.2198251086e+24	3.8086589562e+25	1.3126942742e+07	2.5831464083e+03	4.0000000000e+00
3.5440851607e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534470370e+03	3.8434965032e+03	1.0557196629e+04	2.4859177551e+01	9.9827559359e-01	5.3511705686e-01	4.2229417971e+24	3.8083472873e+25	1.3126975225e+07	2.5850130922e+03	4.0000000000e+00
