Phi_global	fO2_shift_IW_derived
9.9266041497e-01	2.2813579373e+00
9.9259702392e-01	2.2812250358e+00
9.9253286217e-01	2.2810874804e+00
9.9246847838e-01	2.2809456381e+00
9.9240386868e-01	2.2807998668e+00
9.9233754522e-01	2.2806506075e+00
9.9227032991e-01	2.2804980668e+00
9.9220287438e-01	2.2803424371e+00
9.9213469474e-01	2.2801839849e+00
9.9206505666e-01	2.2800229797e+00
9.9199457960e-01	2.2798595588e+00
9.9192196673e-01	2.2796940120e+00
9.9184890675e-01	2.2795263619e+00
9.9177558950e-01	2.2793567520e+00
9.9170201365e-01	2.2791853345e+00
9.9162817787e-01	2.2790122557e+00
9.9155408076e-01	2.2788376552e+00
9.9147972110e-01	2.2786616663e+00
9.9140509736e-01	2.2784844133e+00
9.9133020825e-01	2.2783060107e+00
9.9125504946e-01	2.2781265585e+00
9.9117961694e-01	2.2779461379e+00
9.9110390885e-01	2.2777648046e+00
9.9102792587e-01	2.2775825802e+00
9.9095166781e-01	2.2773994438e+00
9.9087513419e-01	2.2772153199e+00
9.9079832218e-01	2.2770300683e+00
9.9072123235e-01	2.2768434695e+00
9.9064386086e-01	2.2766552153e+00
9.9056620879e-01	2.2764648976e+00
9.9048827181e-01	2.2762720026e+00
9.9041005029e-01	2.2760759072e+00
9.9033154190e-01	2.2758758824e+00
9.9025274374e-01	2.2756711003e+00
9.9017365638e-01	2.2754606461e+00
9.9009427510e-01	2.2752435349e+00
9.9001459999e-01	2.2750187320e+00
9.8993462934e-01	2.2747851738e+00
9.8985435861e-01	2.2745417920e+00
9.8977378957e-01	2.2742875377e+00
9.8969291641e-01	2.2740214087e+00
9.8961174058e-01	2.2737424770e+00
9.8953025741e-01	2.2734499195e+00
9.8944846744e-01	2.2731430501e+00
9.8936636573e-01	2.2728213496e+00
9.8928395287e-01	2.2724844913e+00
9.8920122544e-01	2.2721323631e+00
9.8911817965e-01	2.2717650769e+00
9.8903481272e-01	2.2713829675e+00
9.8895112071e-01	2.2709865828e+00
9.8886709775e-01	2.2705766539e+00
9.8878275059e-01	2.2701540701e+00
9.8869808303e-01	2.2697198412e+00
9.8861309358e-01	2.2692750614e+00
9.8852778051e-01	2.2688208700e+00
9.8844214228e-01	2.2683584209e+00
9.8835617715e-01	2.2678888519e+00
9.8826988347e-01	2.2674132644e+00
9.8818325950e-01	2.2669327049e+00
9.8809630348e-01	2.2664481546e+00
9.8800901358e-01	2.2659605220e+00
9.8792138807e-01	2.2654706416e+00
9.8783342492e-01	2.2649792717e+00
9.8774512230e-01	2.2644870976e+00
9.8765647833e-01	2.2639947372e+00
9.8756749109e-01	2.2634994684e+00
9.8747815875e-01	2.2630023643e+00
9.8738847936e-01	2.2625066001e+00
9.8729845093e-01	2.2620125682e+00
9.8720807152e-01	2.2615205132e+00
9.8711733856e-01	2.2610294228e+00
9.8702624435e-01	2.2605251081e+00
9.8693601395e-01	2.2598534044e+00
9.8693509142e-01	2.2575874704e+00
9.8693132294e-01	2.2560410365e+00
9.8692773356e-01	2.2551672677e+00
9.8692418825e-01	2.2545604510e+00
9.8692067673e-01	2.2541963925e+00
9.8691718638e-01	2.2539829137e+00
9.8691370916e-01	2.2538464778e+00
9.8691023882e-01	2.2537494549e+00
9.8690677316e-01	2.2536709312e+00
9.8690331170e-01	2.2536030205e+00
9.8689985818e-01	2.2535385886e+00
9.8689641101e-01	2.2534818872e+00
9.8689297316e-01	2.2534339822e+00
9.8688955015e-01	2.2533983614e+00
9.8688616076e-01	2.2533820082e+00
9.8688282245e-01	2.2534049622e+00
9.8687957663e-01	2.2534985827e+00
9.8687651056e-01	2.2537273302e+00
9.8687382629e-01	2.2542420084e+00
9.8687184426e-01	2.2552936802e+00
9.8687118686e-01	2.2570274770e+00
9.8687227570e-01	2.2598562032e+00
9.8687578684e-01	2.2644597271e+00
9.8688128311e-01	2.2718518113e+00
9.8668317288e-01	2.2828407529e+00
9.8662364765e-01	2.2828166089e+00
9.8656430197e-01	2.2827768749e+00
9.8650505409e-01	2.2827186400e+00
9.8644501309e-01	2.2826431527e+00
9.8638489747e-01	2.2825529294e+00
9.8632397875e-01	2.2824504971e+00
9.8626267994e-01	2.2823377999e+00
9.8620116457e-01	2.2822163533e+00
9.8613810989e-01	2.2820874554e+00
9.8607401501e-01	2.2819519948e+00
9.8600969287e-01	2.2818106493e+00
9.8594416374e-01	2.2816641162e+00
9.8587840707e-01	2.2815128217e+00
9.8581241869e-01	2.2813571993e+00
9.8574510259e-01	2.2811977165e+00
9.8567638874e-01	2.2810347044e+00
9.8560742867e-01	2.2808683507e+00
9.8553776754e-01	2.2806989516e+00
9.8546652752e-01	2.2805268151e+00
9.8539433553e-01	2.2803520997e+00
9.8531988766e-01	2.2801751142e+00
9.8524507613e-01	2.2799958784e+00
9.8517000137e-01	2.2798145565e+00
9.8509466207e-01	2.2796313127e+00
9.8501905681e-01	2.2794463035e+00
9.8494318425e-01	2.2792596792e+00
9.8486704300e-01	2.2790715834e+00
9.8479063159e-01	2.2788821526e+00
9.8471394752e-01	2.2786915152e+00
9.8463698151e-01	2.2784997890e+00
9.8455972957e-01	2.2783070765e+00
9.8448219253e-01	2.2781134600e+00
9.8440437350e-01	2.2779189957e+00
9.8432627235e-01	2.2777237039e+00
9.8424788585e-01	2.2775275607e+00
9.8416921663e-01	2.2773304858e+00
9.8409025815e-01	2.2771323299e+00
9.8401101436e-01	2.2769328606e+00
9.8393147883e-01	2.2767317524e+00
9.8385165326e-01	2.2765285740e+00
9.8377153473e-01	2.2763227831e+00
9.8369111985e-01	2.2761137236e+00
9.8361041050e-01	2.2759006263e+00
9.8352939947e-01	2.2756826202e+00
9.8344808890e-01	2.2754587437e+00
9.8336647573e-01	2.2752279658e+00
9.8328455521e-01	2.2749892064e+00
9.8320233033e-01	2.2747413624e+00
9.8311979140e-01	2.2744833355e+00
9.8303694395e-01	2.2742140598e+00
9.8295377904e-01	2.2739325345e+00
9.8287030080e-01	2.2736378539e+00
9.8278649957e-01	2.2733292438e+00
9.8270237854e-01	2.2730060912e+00
9.8261793312e-01	2.2726679767e+00
9.8253315868e-01	2.2723146964e+00
9.8244805069e-01	2.2719462765e+00
9.8236260378e-01	2.2715629764e+00
9.8227681058e-01	2.2711652806e+00
9.8219068703e-01	2.2707538741e+00
9.8210423668e-01	2.2703296152e+00
9.8201745823e-01	2.2698935030e+00
9.8193035009e-01	2.2694466216e+00
9.8184291070e-01	2.2689901177e+00
9.8175513841e-01	2.2685251579e+00
9.8166703176e-01	2.2680528987e+00
9.8157858900e-01	2.2675744598e+00
9.8148980840e-01	2.2670909060e+00
9.8140068826e-01	2.2666032347e+00
9.8131122671e-01	2.2661123674e+00
9.8122142169e-01	2.2656191462e+00
9.8113127148e-01	2.2651243336e+00
9.8104077413e-01	2.2646286154e+00
9.8094992774e-01	2.2641301114e+00
9.8085873044e-01	2.2636283247e+00
9.8076718027e-01	2.2631273034e+00
9.8067527530e-01	2.2626274921e+00
9.8058301354e-01	2.2621292873e+00
9.8049039299e-01	2.2616330372e+00
9.8039741160e-01	2.2611389796e+00
9.8030406680e-01	2.2606465140e+00
9.8021035075e-01	2.2601463198e+00
9.8011620120e-01	2.2595361772e+00
9.8009989955e-01	2.2578059253e+00
9.8009555483e-01	2.2556171643e+00
9.8009177502e-01	2.2547881220e+00
9.8008805668e-01	2.2542199186e+00
9.8008438439e-01	2.2538799469e+00
9.8008073925e-01	2.2536779428e+00
9.8007710944e-01	2.2535456921e+00
